,MapName,Year,Month,monthlyUsage
0,Active Transportation GIS Data Resources,2022,1,121
1,Active Transportation GIS Data Resources,2022,2,116
2,Active Transportation GIS Data Resources,2022,3,80
3,Active Transportation GIS Data Resources,2022,4,65
4,Active Transportation GIS Data Resources,2022,5,111
5,Active Transportation GIS Data Resources,2022,6,108
0,Bike Comfort Web App,2022,2,0
1,Bike Comfort Web App,2022,3,0
2,Bike Comfort Web App,2022,4,0
3,Bike Comfort Web App,2022,5,708
4,Bike Comfort Web App,2022,6,58
0,Data Resources for Coordinating Housing & Transportation (SB34),2022,1,27
1,Data Resources for Coordinating Housing & Transportation (SB34),2022,2,16
2,Data Resources for Coordinating Housing & Transportation (SB34),2022,3,28
3,Data Resources for Coordinating Housing & Transportation (SB34),2022,4,9
4,Data Resources for Coordinating Housing & Transportation (SB34),2022,5,7
5,Data Resources for Coordinating Housing & Transportation (SB34),2022,6,12
0,Existing Conditions: Wasatch Front Region,2022,1,17
1,Existing Conditions: Wasatch Front Region,2022,2,6
2,Existing Conditions: Wasatch Front Region,2022,3,7
3,Existing Conditions: Wasatch Front Region,2022,4,44
4,Existing Conditions: Wasatch Front Region,2022,5,21
5,Existing Conditions: Wasatch Front Region,2022,6,26
0,Generalized Future Land Use Map,2022,1,29
1,Generalized Future Land Use Map,2022,2,27
2,Generalized Future Land Use Map,2022,3,50
3,Generalized Future Land Use Map,2022,4,51
4,Generalized Future Land Use Map,2022,5,38
5,Generalized Future Land Use Map,2022,6,34
0,Southwest Salt Lake County - Transportation Solutions,2022,1,19
1,Southwest Salt Lake County - Transportation Solutions,2022,2,25
2,Southwest Salt Lake County - Transportation Solutions,2022,3,26
3,Southwest Salt Lake County - Transportation Solutions,2022,4,16
4,Southwest Salt Lake County - Transportation Solutions,2022,5,21
5,Southwest Salt Lake County - Transportation Solutions,2022,6,6
0,Street Connectivity Analysis,2022,1,18
1,Street Connectivity Analysis,2022,2,7
2,Street Connectivity Analysis,2022,3,19
3,Street Connectivity Analysis,2022,4,10
4,Street Connectivity Analysis,2022,5,8
5,Street Connectivity Analysis,2022,6,3
0,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,1,57
1,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,2,62
2,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,3,77
3,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,4,45
4,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,5,49
5,Taxable Sales Comparison - 2019 to 2020 by Quarter,2022,6,104
0,Transportation and Land Use Connection (TLC) Projects Map,2022,1,44
1,Transportation and Land Use Connection (TLC) Projects Map,2022,2,35
2,Transportation and Land Use Connection (TLC) Projects Map,2022,3,91
3,Transportation and Land Use Connection (TLC) Projects Map,2022,4,90
4,Transportation and Land Use Connection (TLC) Projects Map,2022,5,59
5,Transportation and Land Use Connection (TLC) Projects Map,2022,6,34
0,Transportation Improvement Program (TIP) Map,2022,1,27
1,Transportation Improvement Program (TIP) Map,2022,2,27
2,Transportation Improvement Program (TIP) Map,2022,3,28
3,Transportation Improvement Program (TIP) Map,2022,4,33
4,Transportation Improvement Program (TIP) Map,2022,5,33
5,Transportation Improvement Program (TIP) Map,2022,6,28
0,usRAP Safety Data Map,2022,1,9
1,usRAP Safety Data Map,2022,2,5
2,usRAP Safety Data Map,2022,3,2
3,usRAP Safety Data Map,2022,4,2
4,usRAP Safety Data Map,2022,5,32
5,usRAP Safety Data Map,2022,6,2
0,UTA First Mile / Last Mile,2022,1,18
1,UTA First Mile / Last Mile,2022,2,18
2,UTA First Mile / Last Mile,2022,3,20
3,UTA First Mile / Last Mile,2022,4,11
4,UTA First Mile / Last Mile,2022,5,5
5,UTA First Mile / Last Mile,2022,6,1
0,Walkability and Measuring Urban Street Design,2022,1,60
1,Walkability and Measuring Urban Street Design,2022,2,32
2,Walkability and Measuring Urban Street Design,2022,3,29
3,Walkability and Measuring Urban Street Design,2022,4,33
4,Walkability and Measuring Urban Street Design,2022,5,62
5,Walkability and Measuring Urban Street Design,2022,6,37
0,Wasatch Bike Plan,2022,1,52
1,Wasatch Bike Plan,2022,2,15
2,Wasatch Bike Plan,2022,3,34
3,Wasatch Bike Plan,2022,4,74
4,Wasatch Bike Plan,2022,5,25
5,Wasatch Bike Plan,2022,6,10
0,Wasatch Front Park and Trail Accessibility,2022,1,26
1,Wasatch Front Park and Trail Accessibility,2022,2,14
2,Wasatch Front Park and Trail Accessibility,2022,3,49
3,Wasatch Front Park and Trail Accessibility,2022,4,45
4,Wasatch Front Park and Trail Accessibility,2022,5,13
5,Wasatch Front Park and Trail Accessibility,2022,6,14
0,WFRC Housing Inventory Explorer (Jan 2020),2022,1,318
1,WFRC Housing Inventory Explorer (Jan 2020),2022,2,129
2,WFRC Housing Inventory Explorer (Jan 2020),2022,3,43
3,WFRC Housing Inventory Explorer (Jan 2020),2022,4,51
4,WFRC Housing Inventory Explorer (Jan 2020),2022,5,51
5,WFRC Housing Inventory Explorer (Jan 2020),2022,6,49
